#;Groupe;Scenario;Action;Attendu;Statut;Constate le 2026-08-07
1;Socle;Chargement de page;Charger la page 1000;page_template=page_hub / product.category1=Agriculture / product.category5=Elevage-avicole;OK;page_template=page_hub - hub_page_id=1000 - hub_page_uri=/lancer-elevage-poules-pondeuses-1000-projet.html
2;Socle;Consentement refuse;Cliquer "Continuer sans accepter";consent update avec les 4 signaux en denied;OK;les 4 signaux passent en denied
3;Socle;page_view double property;DebugView de G-DQTV4SHNME sur une page HUB;EXACTEMENT UN page_view par chargement - ni zero ni deux;A TESTER MANUELLEMENT;necessite GTM publie + acces DebugView
4;Socle;Non-regression conseils;DebugView de G-DQTV4SHNME sur une page conseils;EXACTEMENT UN page_view et page_template=conseils;A TESTER MANUELLEMENT;necessite GTM publie + acces DebugView
5;Projet;Impression formulaire;Scroller jusqu'au hero;1 x hub_form_view - jamais 2;OK;1 seul - hub_entry_point=hero - step_name=1ere-question
6;Projet;Demarrage;Cocher la 1ere reponse;1 x hub_form_start avec answer_label exact;OK;step_name=1ere-question / step_id=projet / answer_label="Creation d'un premier elevage"
7;Projet;Etapes;Derouler les 4 questions;hub_form_step avec step_name distincts;OK;2eme-question/volume - 3eme-question/budget - 4eme-question/delai (generique + step_id metier)
8;Projet;Retour arriere;Cliquer "Retour" puis re-avancer;PAS de 2e hub_form_step pour la meme etape;OK;aucun doublon
9;Projet;Ecran e-mail;Terminer la 4e question;1 x hub_form_email_view;OK;1 seul
10;Projet;Aiguillage inconnu;Soumettre un e-mail inconnu;hub_form_email_submit puis hub_email_check email_check_result=unknown;OK;verifie sur le tunnel guide (meme code) - voir #21
11;Projet;Aiguillage connu;Soumettre un e-mail deja en base;email_check_result=known / hub_lead_path=reconnu / AUCUN coordinates_submit;OK;conforme - aucune etape coordonnees
12;Projet;(supprime);Scenario obsolete;skipEmailStep n'existe plus - l'etape e-mail est TOUJOURS affichee;SANS OBJET;retire du code par le pull du 2026-08-05
13;Projet;Cookie != verite serveur;Rejouer 11 depuis un navigateur vierge;user_known_status=Known malgre l'absence de cookie;OK;la valeur vient bien de la reponse serveur
14;Projet;Conversion complete;Completer les coordonnees;hub_form_submission / hub_group=projet / id_page_hub=1000;OK;verifie le 2026-08-05 (hub_lead_path=complet) et le 2026-08-07 (hub_lead_path=reconnu)
15;Projet;PDF depuis le tunnel projet;Ecran de remerciement projet;hub_guide_download avec hub_group=projet;OK;hub_group=projet / download_trigger=auto
16;Projet;Anti-double-comptage;Cliquer 2x rapidement sur soumettre;1 SEUL hub_form_submission;A TESTER MANUELLEMENT;impossible a simuler de facon fiable dans l'onglet automatise
